ESO Period 102 - 103 (105) Protected Guaranteed Time Observations - ESPRESSO,,,,,,,,,,,,,
"Note: Protection column concerns the period for target protection. 6 months is the default, 24 months should be entered if the GTO proposal will run over four periods (GTO-Large).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Target id,Right Ascension,,,Declination,,,Instrument,Instrument setup,Telescope,Execution time (h),PI,Protection ,Comments
,hh,mm,ss.ss,#NAME?,pp,ss,,,,,,months (see Note),
GJ9827,23,27,4.83,-1,17,10.6,ESPRESSO,SINGLEHR,anyUT,12,Pepe,12,-
,,,,,,,,,,,,,
J0349-3810,3,49,43.68,-38,10,31.1,ESPRESSO,multiMR,allUTs,4,Molaro,48,-
J0407-4410,4,7,17.99,-44,10,13.4,ESPRESSO,multiMR,allUTs,3,Molaro,48,-
J0430-4855,4,30,37.31,-48,55,23.7,ESPRESSO,singleHR,anyUTs,12,Molaro,48,-
J0530-2503,5,30,7.96,-25,3,29.9,ESPRESSO,multiMR,allUTs,4,Molaro,48,-
HE0515-4414,5,17,7.63,-44,10,55.5,ESPRESSO,singleHR,anyUTs,10,Molaro,48,-
J1103-2645,11,3,25.29,-26,45,15.7,ESPRESSO,singleHR,anyUTs,10,Molaro,48,-
1159+0112,11,59,44.82,1,12,6.9,ESPRESSO,multiMR,allUTs,4,Molaro,48,-
J1333+1649,13,33,35.78,16,49,4,ESPRESSO,singleHR,anyUTs,12,Molaro,48,-
J1443+2724,14,43,31.2,27,24,37,ESPRESSO,multiMR,allUTs,4,Molaro,48,-
J1551+1911,15,51,52.48,19,11,4.2,ESPRESSO,singleHR,anyUTs,10,Molaro,48,-
J2208-1944,22,8,52.08,-19,43,59.6,ESPRESSO,singleHR,anyUTs,12,Molaro,48,-
HE2217-2818,22,20,6.77,-28,3,23.4,ESPRESSO,singleHR,anyUTs,12,Molaro,48,-
J2232+0247,22,32,35.23,2,47,55.8,ESPRESSO,multiMR,allUTs,4,Molaro,48,-
J2334-0908,23,34,46.4,-9,8,12.3,ESPRESSO,multiMR,allUTs,4,Molaro,48,-
J2343+1232,23,46,28.22,12,48,59.9,ESPRESSO,multiMR,allUTs,4,Molaro,48,-
J1443+2724,14,43,31.17,27,24,36.8,ESPRESSO,multiMR,allUTs,5,Molaro,48,-
J0000+0048,0,0,15.17,0,48,33.3,ESPRESSO,multiMR,allUTs,5,Molaro,48,-
J0857+1855,8,57,26.79,18,55,24.3,ESPRESSO,multiMR,allUTs,4,Molaro,48,-
